28,please remember my [id number]
11,what is the dollar amount of [10 euros].
16,make a reservation at [red lobster] for [7pm] [tonight].
48,at what time is my next meeting?
13,make the speakers louder as i [am watching a movie].
36,screenshot this and then send an [email] of this to my contact [joe].
44,tell me a different word that means [good].
29,set a reminder for me to read [this article] later.
2,phone [sarah] [tomorrow] at [5pm].
26,bring the [tab] to a different [window].
32,display all [2013] [photos of myself]
14,tell me when [joe] sends and [email].
46,display my favorite [websites] from [last year]?
5,i need the language to be [french].
27,any attachments that [bertha] sends to me put into my [dropbox] folder.
39,set an alarm for [5 minutes] from now.
30,make sure this [note] is saved as a [microsoft word] document
20,"the [document] i just closed, please open it."
19,silence all applications whenever i [am watching youtube].
36,i want you to attach screenshot via [email] to [joe].
17,put all of my [downloads] in [desktop] folder.
11,the total of [10 euros] converted into [dollars]?
45,tell me the traffic on my way [home].
38,what else can you tell me about [beyonce]?
3,"my [4pm] just canceled, remove it."
24,can you play the top [songs] of [2012]?
43,what does this [error] stand for?
24,play the favorite [songs] of [2012]
13,make the volume louder when i [am watching a movie].
48,when is my next scheduled meeting?
9,did i send more than 10 [emails]  [today]
29,i would like you to remind me to read [this article] later.
32,i need to see [photos of myself] taken in [2013].
35,go back to the [tab] i was just viewing.
31,save [home] as this location.
37,new text message to [my wife]: [i'm coming home].
22,i want [classical music] when i am using [microsoft word].
41,[in my essay] where are the overused [words]?
22,start [classical music] when [microsoft word] is up
13,please boost the volume of the speakers when i [am watching a movie].
37,inform [my wife] that [i'm coming home]
40,shut it down [chrome] is using too much memory.
14,let me know if [joe] sends me an [email]
2,set reminder to call [sarah] at [5pm] [tomorrow]
10,what is the calorie count for [oreos]?
20,i want the [document] i just closed reopened
38,tell me about [beyonce] in more details.
13,turn up the volume to 70% when i [am watching a movie].
11,the amount of [10 euros] exchanged into [dollars]?
36,take a screenshot and [email] it to [joe].
41,what [words] do i overuse in [this essay]?
9,what is the number of [emails] that i have written for [today]?
34,show me images of [kittens].
12,how many minutes did i spend on [facebook] [this week]?
4,please use [bing] as my default [search engine]
11,convert the value of [10 euros] to [dollars]
20,please open up the [document] that i just closed.
11,what is the value of [10 euros] when it is converted into [dollars]?
24,play the highest rated [songs] from [2012].
14,give me a notification if [joe] sends an [email].
39,wake-up call in [5 minutes] please.
29,store [this article]
50,when is my [package] arriving
44,what's a [good] replacement for the word [good]?
42,do a search for [lol] and tell me what it stands for.
27,pull all of [bertha]'s attachments that are in my [dropbox] folder.
17,transfer all [downloads] to my [desktop] folder.
4,from now on i want my default [search engine] to be [bing].
11,how many [dollars] is [10 euros] worth?
21,play [fancy] once this song finishes.
16,at [7pm] [tonight] make a reservation at [red lobster]?
31,save this as the [home] location
49,should i leave early to [go grocery shopping]?
8,when does [cvs] close?
33,for the [last month] show me all of the [new york times] articles that i've read.
9,what number of [emails] were written [today] by me
47,give me the name of the finest [restaurant] in close proximity to me.
50,when is my [package] scheduled to arrive?
43,please explain what this [error] means?
47,do you know the best [restaurant] near me?
20,open the last [document] i closed.
39,wake me up in [5 minutes].
34,can you show me some pictures of [kittens]?
30,transfer this [note] into a document in [microsoft word].
34,show images of [kittens]
40,tell me if [chrome] starts using up too much memory.
46,name my 3 favorite [websites] [last year]}
3,i want to reschedule my [4pm] appointment.
41,[this essay] has some overused [words]; where are they?
5,where do i set the language to [french]
22,play [classical music] whenever [microsoft word] is active.
10,what is the calorie count for [oreos]?
5,change this text to [french].
25,print out my currently open [documents]
34,can you show me pictures of [kittens]?
32,show my [photos of myself] from [2013].
25,print the [documents] i have displayed on the screen now.
21,after this song is finish play [fancy] next.
14,if [joe] sends me an [email] let me know.
10,what is the calorie count for a serving of [oreos]?
49,do i need to [go grocery shopping]?
20,open the pdf [document] that i closed last
14,tell me if [joe] sends me an [email].
4,turn [bing] into my default [search engine].
15,"after [my script] is completed, please inform me."
32,display [photos of myself] from [2013].
13,elevate volume when i [am watching a movie]
35,move back to the [tab] i was just looking at.
26,create a new [window] for this [tab].
45,let me know what traffic is like on the way [home]
36,send [joe] a screenshot via [email].
44,can you give me another variation of the word [good]?
49,when do you recommend that i [go grocery shopping]?
15,tell me when [my script] finishes running.
21,when this song is done play [fancy].
20,have the [document] i just close open again
9,how many [emails] did i manage to write [today]?
48,when is my next appointment?
27,transfer all the attachments sent by [bertha] to my [dropbox] folder
23,lets play the same [songs] that i played [yesterday].
10,[oreos] contain about how many calories?
1,please block me from this site after [10 minutes] of time elapsed.
29,inform me to read [this article] later on.
49,what time should i [go grocery shopping]
23,play the [songs] that i played [yesterday].
17,move all [downloads] to the folder [desktop]
33,"in the [last month], show me all the [new york times] articles i've read."
41,overused [words] in [this essay].
16,please make a reservation at the [red lobster] for [7pm] [tonight].
14,"as soon as [joe] sends me an [email], let me know."
48,what time is my next meeting?
12,what is my total time spent on [facebook] [this week]?
42,what does [lol] mean?
44,what is a synonym for [good]?
14,alert me when [joe] sends an [email].
4,i want my default [search engine] to be [bing].
28,save my [id number]
37,contact [my wife] that [i'm coming home].
42,what is the meaning of [lol]?
40,remind me when [chrome] has too much memory allocated.
14,notify me if i receive an [email] from [joe]
40,"when [chrome] uses too much memory, warn me"
5,turn the language to [french].
12,how many hours did i use [facebook] [this week]
44,what is a synonym for the word [good]?
43,can you tell me what [error] means?
1,after [10 minutes] shut me out from this site.
8,when does [cvs] close tonight?
31,make this my [home] location.
46,what were my top [websites] [last year] ?
8,what are [cvs]'s hours?
37,inform [my wife] that [i'm coming home].
42,what do the letters [lol] stand for?
13,increase the volume whenever i [am watching a movie].
34,i want to see pictures of [kittens].
21,please play [fancy] after this.
17,put all [downloads] in the [desktop] folder.
3,i'm not going to make my [4pm] appointment
50,when will my [package] arrive?
44,other words for [good]
36,make a screenshot and send it to [joe] via [email].
23,replay the [songs] from [yesterday].
23,play [songs] from [yesterday].
4,make [bing] my default [search engine].
30,i want this [note] to be a document in [microsoft word].
13,turn the volume up when i [am watching a movie].
4,switch my default [search engine] to [bing].
40,notify me when [chrome] is taking up to much memory.
6,place an order for a [starbucks] [pumpkin spice latte].
31,keep this location as [home].
18,mute all
31,set this location as my [home].
16,i need a reservation for .
32,let me see [photos of myself] taken in [2013]
47,show me the best [restaurant] near me.
45,tell me what traffic looks like on the way [home].
48,what time is my next meeting?
14,notify me if [joe] sends me an [email].
27,place all attachments that [bertha] sends me in my [dropbox] folder.
5,i want this to be written in [french].
34,i want to see [kittens].
50,when is my [package] going to arrive?
19,make other apps mute when i [am watching youtube].
41,what [words] are used too often in [this essay]?
17,take any [downloads] and place them in my [desktop] folder.
27,all attachments from [bertha] should go to [dropbox].
