5,"[chrome] needs to be open, but nothing else."
3,[mendeley] needs to be closed out after being dormant for [a week].
3,"close [mendeley], if unused for [a week]."
1,make sure [abc.txt] is sent to [joe] in an [email] as a [pdf].
4,at [8pm] [every day] remind me to [take my medicine].
5,close all programs except for [chrome].
3,i want [mendeley] closed in [a week] if it isn't used by then
4,give me a reminder [every day] to [take my medicine] dose at [8pm]
2,[flux] should turn [on] when i close [microsoft word]
4,[take my medicine] [every day] at [8pm] set alarm
1,send [joe] an [email] of the [pdf] that contains [abc.txt].
5,only keep [chrome] open
3,[a week] of inactivity is enough to go ahead and close [mendeley].
5,close everything but [chrome]
2,when i finish with [microsoft word] turn [on] [flux]
2,[flux] needs to go [on] after i finish with  [microsoft word]
1,[email] [abc.txt] in the form of [pdf] to [joe]
1,send an [email] to [joe] of [abc.txt] as a [pdf]
5,please stop running any program that isn't [chrome].
2,switch [on] [flux] when i finish with [microsoft word]
2,after i finish with [microsoft word] i want you to put [on] [flux]
2,set [flux] to [on] after i finish using [microsoft word]
2,i am finished with [microsoft word] turn [on] [flux]
5,close anything open that is not [chrome]
1,send a [pdf] by [email] to [joe] containing [abc.txt]
2,turn [flux] [on] whenever [microsoft word] is not in use.
2,turn [on] [flux] after i finish using [microsoft word].
3,close[ mendeley] when it hasnt been on for [7 days]
1,respond to [joe] with and [email] of the [pdf] file of [abc.txt]
1,[send] [joe] an [email] with [abc.txt] in [pdf] form.
3,once [a week] has passed without using [mendeley] close it
2,after i use [microsoft word] please switch [on] [flux]
4,let me not forget to  [take my medicine] at [8pm] [every day]
2,"when i am done [microsoft word], [flux] turns [on]."
2,when i'm done with [microsoft word] turn [on] [flux]
1,send [abc.txt] to [joe] as a [pdf] via [email]
5,i only want [chrome] kept up.
1,[joe] needs the [abc.txt] file [email]ed in [pdf] format.
1,send an [email] to [joe] of [abc.txt] in [pdf] from
5,keep only [chrome] and nothing else
1,please [email] [joe] with the [pdf] of [abc.txt].
1,send [abc.txt] as a [pdf] to [joe]'s [email]
4,set a reminder to [take my medicine] [every day] at [8pm]
4,don't forget to notify me [every day] at [8pm] to [take my medicine]
3,shut off [mendeley] after not using it for [a week]
5,close all but keep [chrome] open
3,[mendeley] should be shut down if a don't use it after [a week].
4,prompt me [every day] at [8pm] to [take my medicine]
3,don't keep [mendeley] open for longer than [a week] if unused.
2,when i close [microsoft word] turn [flux] [on]
5,exit out of all programs besides [chrome]
3,"if [a week] goes by without using [mendeley], close the program"
2,once i am done with [microsoft word] turn [flux] [on]
2,set [flux] to [on] after i stop using [microsoft word]
5,"when i say close, all applications should be closed but [chrome]."
1,make [abc.txt] into [pdf] to send to [joe] by [email]
5,shut all these windows with the exception of [chrome].
4,set an [every day] alert for me to [take my medicine] at [8pm].
5,close [chrome] for me
3,"after [a week] of inactivity, close [mendeley]"
4,set a reminder to [take my medicine] [every day] at [8pm]
3,"after [a week] of non-use, close [mendeley]."
2,make sure [flux] is [on] unless [microsoft word] is in use.
4,i'd like to be alerted [every day] at [8pm] that i need to [take my medicine]
2,when [microsoft word] is not [on] [flux] should be running
4,alert me [every day] at [8pm] to [take my medicine]
4,sent an alarm [every day] at [8pm] to [take my medicine].
4,"at [8pm] [every day], remind me to [take my medicine]"
2,turn [flux] [on] after i close out of [microsoft word]
3,quit [mendeley] if it isn't being used for [a week]
3,if it is not used in [a week] [a week] close [mendeley]
2,turn [on] [flux] when i am done with [microsoft word]
5,"cease everything, but keep [chrome] open."
5,close everything but [chrome].
4,send me a reminder [every day] at [8pm] to [take my medicine].
5,stop everything besides [chrome]
2,[flux] needs to turned [on] after i close [microsoft word].
5,everything but [chrome] must be closed
4,at [8pm] [every day] i need to be reminded to [take my medicine]
4,set a reminder for [8pm] to [take my medicine] [every day]
3,if it's been [a week] since i've used [mendeley] close it
3,if [mendeley] hasn't been used in [a week] please close it
4,set a alarm to [take my medicine] [every day] [8pm]
5,end all programs but not [chrome]
